JD,Magnitude,Band
2458865.9,6.9,Vis.
2458083.3306,6.95,Vis.
2455201.20833,7,Vis.
2455204.275,7,Vis.
2455208.2,7,Vis.
2455209.2243,7,Vis.
2455213.1993,7,Vis.
2455218.2,7,Vis.
2455221.21,7,Vis.
2455228.2792,7,Vis.
2455244.6819,7,Vis.
2455630.7,7,Vis.
2455787.32847,7,Vis.
2455800.4,7,Vis.
2455804.33,7,Vis.
2455807.31875,7,Vis.
2455829.28958,7,Vis.
2455992.6667,7,Vis.
2456179.30208,7,Vis.
2456184.6,7,Vis.
2456189.4028,7,Vis.
2456195.589,7,Vis.
2456203.27986,7,Vis.
2456208.25139,7,Vis.
2456539.41365,7,Vis.
2456539.5,7,Vis.
2456541.4014,7,Vis.
2456541.4035,7,Vis.
2456542.55,7,Vis.
2456543.24306,7,Vis.
2456544.2896,7,Vis.
2456550.6,7,Vis.
2456552.2917,7,Vis.
2456557.375,7,Vis.
2456558.4764,7,Vis.
2456558.6,7,Vis.
2456559.4271,7,Vis.
2456559.5167,7,Vis.
2456562.4,7,Vis.
2456563.4014,7,Vis.
2456563.4729,7,Vis.
2456564.5819,7,Vis.
2456565.2944,7,Vis.
2456565.3069,7,Vis.
2456565.5882,7,Vis.
2456567.2917,7,Vis.
2456567.4,7,Vis.
2456568.3438,7,Vis.
2456568.3979,7,Vis.
2456568.61806,7,Vis.
2456569.24,7,Vis.
2456569.2965,7,Vis.
2456569.3486,7,Vis.
2456569.37,7,Vis.
2456570.30972,7,Vis.
2456571.4,7,Vis.
2456573.25903,7,Vis.
2456573.26181,7,Vis.
2456573.6,7,Vis.
2456574.67014,7,Vis.
2456584.27,7,Vis.
2456937.35625,7,Vis.
2456946.41042,7,Vis.
2456950.38,7,Vis.
2456967.34,7,Vis.
2457110.8,7,Vis.
2457122.64,7,Vis.
2457333.18333,7,Vis.
2457340.17778,7,Vis.
2457504.56,7,Vis.
2457505.8417,7,Vis.
2457517.368,7,Vis.
2457678.44,7,Vis.
2457682.4,7,Vis.
2457683.33,7,Vis.
2457687.30694,7,Vis.
2457689.5,7,Vis.
2457691.26667,7,Vis.
2457695.18264,7,Vis.
2457696.27,7,Vis.
2457696.4271,7,Vis.
2457700.5,7,Vis.
2457703.23958,7,Vis.
2457704.24236,7,Vis.
2457709.3389,7,Vis.
2457711.18611,7,Vis.
2457718.28472,7,Vis.
2457720.3,7,Vis.
2458065.24,7,Vis.
2458075.28056,7,Vis.
2458075.29792,7,Vis.
2458076.1875,7,Vis.
2458078.25903,7,Vis.
2458082.2694,7,Vis.
2458087.5,7,Vis.
2458091.3417,7,Vis.
2458092.23681,7,Vis.
2458094.38,7,Vis.
2458101.2354,7,Vis.
2458103.19028,7,Vis.
2458486.19167,7,Vis.
2458650.42,7,Vis.
2458828.19722,7,Vis.
